Time_Hour,Instrument_Code,Open,High,Low,Close,VWAP,TWAP,NumberOfTrades,Volume,Turnover,MinTimeHour,MaxTimeHour,Avg_Bid_Ask_Spread
2018-02-12 16:00:00+00:00,ABC,52.55454545,52.61818182,52.50909091,52.57272727,52.57189909,52.56285273,719,602582.6364,3832488965,2020-02-10 16:00:00.586379+00:00,2020-02-10 16:36:08.403393+00:00,-0.436409091
2018-02-13 08:00:00+00:00,ABC,53.10909091,53.60909091,53.06363636,53.32727273,53.39022182,53.40776818,2875,274242.4545,1772247959,2020-02-11 08:00:08.319722+00:00,2020-02-11 08:59:40.672136+00:00,-0.063185455
2018-02-13 09:00:00+00:00,ABC,53.32727273,53.34545455,53.2,53.29090909,53.27315091,53.26763818,1244,90315,582114872,2020-02-11 09:00:01.504608+00:00,2020-02-11 09:59:39.178905+00:00,0.010653636
2018-02-13 10:00:00+00:00,ABC,53.29090909,53.49090909,53.25454545,53.49090909,53.37151909,53.36933636,771,54190.09091,349942791.8,2020-02-11 10:00:20.885675+00:00,2020-02-11 10:59:44.358556+00:00,0.010677273
2018-02-13 11:00:00+00:00,ABC,53.49956364,53.66363636,53.47272727,53.61818182,53.59737818,53.59244545,1197,92126.09091,597408766.7,2020-02-11 11:00:09.951903+00:00,2020-02-11 11:59:59.016527+00:00,0.010916364
2018-02-13 12:00:00+00:00,ABC,53.59090909,53.90909091,53.59090909,53.87272727,53.72085455,53.72194636,1477,119858.1818,779120797.6,2020-02-11 12:02:03.300801+00:00,2020-02-11 12:59:53.753352+00:00,-0.010281818
2018-02-13 13:00:00+00:00,ABC,53.86363636,53.87272727,53.58636364,53.68181818,53.68710182,53.68198909,1503,136774.8182,888423658.9,2020-02-11 13:00:00.402339+00:00,2020-02-11 13:59:10.038624+00:00,0.011313636
2018-02-13 14:00:00+00:00,ABC,53.66363636,53.78181818,53.59090909,53.7,53.69807,53.69482364,2475,185207.1818,1203304704,2020-02-11 14:00:01.663250+00:00,2020-02-11 14:59:55.348766+00:00,0.01092
2018-02-13 15:00:00+00:00,ABC,53.70459091,53.79090909,53.68181818,53.76363636,53.73850818,53.73869,2229,143641.2727,934010346,2020-02-11 15:00:00.160306+00:00,2020-02-11 15:59:59.930019+00:00,0.010526364
2018-02-13 16:00:00+00:00,ABC,53.76363636,53.85454545,53.64557818,53.76363636,53.76598636,53.78633273,1744,939215.6364,6112552759,2020-02-11 16:00:01.054101+00:00,2020-02-11 16:43:36.722089+00:00,-0.282187273
2018-02-14 08:00:00+00:00,ABC,53.72727273,54.2,53.60909091,54.02727273,53.82115818,53.83974545,3416,337837.6364,2200880178,2020-02-12 08:00:16.205853+00:00,2020-02-12 08:59:25.528040+00:00,-0.026908182
2018-02-14 09:00:00+00:00,ABC,54.03636364,54.10909091,53.98181818,53.99090909,54.03885909,54.03941,1424,97431.09091,637079362.8,2020-02-12 09:00:01.423547+00:00,2020-02-12 09:59:43.284021+00:00,0.012145455
2018-02-14 10:00:00+00:00,ABC,53.99112727,54.13636364,53.94567273,54.07297273,54.07418545,54.07208545,1511,119137.6364,779484479.9,2020-02-12 10:00:12.139657+00:00,2020-02-12 10:59:37.053367+00:00,0.010966364
2018-02-14 11:00:00+00:00,ABC,54.09090909,54.16363636,53.90909091,53.91818182,54.10178364,54.09743455,1199,101180.7273,662307746.4,2020-02-12 11:00:03.024925+00:00,2020-02-12 11:59:54.938369+00:00,0.012006364
2018-02-14 12:00:00+00:00,ABC,53.88181818,54.00909091,53.88181818,53.97272727,53.96155909,53.96067545,748,59130.72727,386078811.3,2020-02-12 12:02:15.495360+00:00,2020-02-12 12:59:59.674645+00:00,0.003695455
2018-02-14 13:00:00+00:00,ABC,53.97272727,54.16363636,53.93636364,54.12727273,54.05495818,54.05620909,843,51851.54545,339150655.2,2020-02-12 13:00:00.535555+00:00,2020-02-12 13:59:49.728369+00:00,0.012745455
2018-02-14 14:00:00+00:00,ABC,54.13636364,54.18181818,54.00909091,54.03636364,54.07592091,54.07357091,1937,121346.0909,793955591.4,2020-02-12 14:00:06.244385+00:00,2020-02-12 14:59:59.316935+00:00,0.010952727
2018-02-14 15:00:00+00:00,ABC,54.03636364,54.12727273,53.99090909,54.01818182,54.05179364,54.05336455,1615,134677,880849135.1,2020-02-12 15:00:00.031110+00:00,2020-02-12 15:59:50.803221+00:00,0.011260909
2018-02-14 16:00:00+00:00,ABC,54.01818182,54.12727273,54,54.12727273,54.11978182,54.08048545,1666,692818,4533620023,2020-02-12 16:00:04.330861+00:00,2020-02-12 16:35:23.314649+00:00,-0.243231818
2018-02-15 08:00:00+00:00,ABC,53.63636364,54.45454545,53.18181818,53.41842727,53.62160636,53.61458909,2419,210136.6364,1363233113,2020-02-13 08:00:12.674257+00:00,2020-02-13 08:59:58.323139+00:00,-0.011212727
2018-02-15 09:00:00+00:00,ABC,53.42727273,53.48181818,53.15454545,53.3,53.31623091,53.31481364,1587,123759,798380753.1,2020-02-13 09:00:00.120057+00:00,2020-02-13 09:59:34.516203+00:00,0.011221818
2018-02-15 10:00:00+00:00,ABC,53.3,53.41818182,53.13636364,53.24545455,53.25265091,53.24772273,1904,145062.3636,934633107.1,2020-02-13 10:00:00.320662+00:00,2020-02-13 10:59:51.293159+00:00,0.011972727
2018-02-15 11:00:00+00:00,ABC,53.24545455,53.45454545,53.10909091,53.4,53.29995909,53.30232273,1568,94860.54545,611810775.6,2020-02-13 11:00:02.973916+00:00,2020-02-13 11:59:59.647053+00:00,0.011290909
2018-02-15 12:00:00+00:00,ABC,53.4,53.41818182,53.20909091,53.36363636,53.33335455,53.33324091,1505,96812.09091,624759606.7,2020-02-13 12:02:05.763581+00:00,2020-02-13 12:59:55.651645+00:00,0.009708182
2018-02-15 13:00:00+00:00,ABC,53.35454545,53.47272727,53.29090909,53.45454545,53.38302091,53.37556,1190,70233.54545,453599333.5,2020-02-13 13:00:10.499907+00:00,2020-02-13 13:59:59.981037+00:00,0.011381818
